* Generated with the following parameters:
* 	scalequalities : None
* 	density        : None
* 	seed           : 94
* 	addedges       : 50
* 	attributes     : 1
* 	out            : random_haverly_7/haverly_10_addedges_50_attr_1_6
* 	haverly        : 10
* 	scalehaverlys  : random

* Statistics about the input graph:
* 	nodes         : 60
* 	edges         : 110
* 	inputs        : 30
* 	pools         : 10
* 	outputs       : 20
* 	components    : 1
* 	density_real  : 0.1
* 	input->pool   : 33
* 	pool->output  : 26
* 	input->output : 51
* 	min_cost      : -15
* 	max_cost      : 16

set V /h2_i3, h2_i2, h2_i1, h9_j2, h9_j1, h3_i3, h1_l1, h0_i2, h0_l1, h8_i1, h8_i3, h8_i2, h6_l1, h3_l1, h0_j1, h4_i1, h0_j2, h4_i3, h4_i2, h3_j1, h3_j2, h3_i1, h3_i2, h1_i2, h1_i3, h7_l1, h1_i1, h4_l1, h8_l1, h9_i2, h5_l1, h0_i1, h1_j2, h1_j1, h7_i1, h7_i2, h7_i3, h9_i1, h9_l1, h6_j2, h6_j1, h5_i2, h5_i3, h5_i1, h2_l1, h7_j1, h9_i3, h0_i3, h7_j2, h2_j2, h2_j1, h8_j1, h8_j2, h6_i3, h6_i2, h6_i1, h4_j1, h4_j2, h5_j2, h5_j1/;
set K /k1, ka_0/;
set I /h2_i3, h2_i2, h2_i1, h3_i3, h0_i2, h8_i1, h8_i3, h8_i2, h4_i1, h4_i3, h4_i2, h3_i1, h3_i2, h1_i2, h1_i3, h1_i1, h9_i2, h0_i1, h7_i1, h7_i2, h7_i3, h9_i1, h5_i2, h5_i3, h5_i1, h9_i3, h0_i3, h6_i3, h6_i2, h6_i1/;
set L /h1_l1, h0_l1, h6_l1, h3_l1, h7_l1, h4_l1, h8_l1, h5_l1, h9_l1, h2_l1/;
set J /h9_j2, h9_j1, h0_j1, h0_j2, h3_j1, h3_j2, h1_j2, h1_j1, h6_j2, h6_j1, h7_j1, h7_j2, h2_j2, h2_j1, h8_j1, h8_j2, h4_j1, h4_j2, h5_j2, h5_j1/;
set A /
    h2_i3.h3_j1, 
    h2_i3.h5_j1, 
    h2_i3.h2_j2, 
    h2_i3.h2_l1, 
    h2_i3.h2_j1, 
    h2_i2.h2_l1, 
    h2_i1.h2_l1, 
    h2_i1.h1_j2, 
    h7_i3.h7_j1, 
    h7_i3.h7_j2, 
    h7_i3.h4_j2, 
    h0_i1.h4_j1, 
    h0_i1.h0_l1, 
    h3_i3.h3_j1, 
    h3_i3.h1_j2, 
    h3_i3.h3_j2, 
    h1_l1.h1_j2, 
    h1_l1.h1_j1, 
    h9_l1.h0_j1, 
    h9_l1.h9_j2, 
    h9_l1.h9_j1, 
    h0_l1.h0_j1, 
    h0_l1.h0_j2, 
    h8_i1.h9_l1, 
    h8_i1.h8_l1, 
    h8_i3.h1_j1, 
    h8_i3.h8_j1, 
    h8_i3.h8_j2, 
    h8_i3.h1_j2, 
    h8_i3.h4_j2, 
    h8_i2.h6_j2, 
    h8_i2.h8_l1, 
    h6_l1.h6_j2, 
    h6_l1.h6_j1, 
    h6_l1.h4_j2, 
    h5_i2.h5_l1, 
    h5_i2.h1_l1, 
    h5_i2.h3_l1, 
    h5_i3.h5_j2, 
    h5_i3.h5_j1, 
    h3_l1.h3_j1, 
    h3_l1.h4_j2, 
    h3_l1.h3_j2, 
    h7_i1.h7_l1, 
    h7_i1.h1_l1, 
    h7_i1.h1_j2, 
    h2_l1.h8_j1, 
    h2_l1.h2_j2, 
    h2_l1.h1_j1, 
    h2_l1.h2_j1, 
    h4_i1.h6_j2, 
    h4_i1.h4_l1, 
    h4_i1.h6_l1, 
    h4_i1.h7_j2, 
    h7_i2.h5_l1, 
    h7_i2.h2_l1, 
    h7_i2.h7_l1, 
    h4_i3.h4_j1, 
    h4_i3.h4_j2, 
    h4_i2.h4_l1, 
    h9_i2.h2_j2, 
    h9_i2.h9_l1, 
    h9_i2.h3_j2, 
    h9_i3.h7_j2, 
    h9_i3.h9_j2, 
    h9_i3.h9_j1, 
    h0_i3.h0_j1, 
    h0_i3.h0_j2, 
    h9_i1.h1_l1, 
    h9_i1.h5_j1, 
    h9_i1.h6_j1, 
    h9_i1.h9_l1, 
    h9_i1.h4_j2, 
    h5_i1.h5_l1, 
    h3_i1.h0_j1, 
    h3_i1.h0_j2, 
    h3_i1.h4_j1, 
    h3_i1.h3_l1, 
    h6_i3.h6_j2, 
    h6_i3.h2_l1, 
    h6_i3.h7_l1, 
    h6_i3.h6_j1, 
    h3_i2.h9_j1, 
    h3_i2.h3_l1, 
    h6_i1.h7_j1, 
    h6_i1.h7_l1, 
    h6_i1.h6_l1, 
    h1_i2.h7_j1, 
    h1_i2.h8_j1, 
    h1_i2.h1_l1, 
    h1_i3.h1_j2, 
    h1_i3.h1_j1, 
    h1_i3.h4_j1, 
    h7_l1.h7_j1, 
    h7_l1.h7_j2, 
    h1_i1.h7_j2, 
    h1_i1.h1_l1, 
    h1_i1.h4_j2, 
    h4_l1.h4_j1, 
    h4_l1.h4_j2, 
    h0_i2.h2_l1, 
    h0_i2.h1_j1, 
    h0_i2.h0_l1, 
    h8_l1.h8_j1, 
    h8_l1.h8_j2, 
    h5_l1.h5_j2, 
    h5_l1.h5_j1, 
    h5_l1.h8_j1, 
    h6_i2.h6_l1, 
    h6_i2.h9_j2
/;
parameter cost(V,V) /
    h2_i3.h3_j1 -6.411657
    h2_i3.h5_j1 -5.788459
    h2_i3.h2_j2 -5.000000
    h2_i3.h2_l1 3.463065
    h2_i3.h2_j1 1.000000
    h2_i2.h2_l1 16.000000
    h2_i1.h2_l1 6.000000
    h2_i1.h1_j2 -7.395144
    h7_i3.h7_j1 1.000000
    h7_i3.h7_j2 -5.000000
    h7_i3.h4_j2 -10.048718
    h0_i1.h4_j1 -8.437432
    h0_i1.h0_l1 6.000000
    h3_i3.h3_j1 1.000000
    h3_i3.h1_j2 -9.704846
    h3_i3.h3_j2 -5.000000
    h1_l1.h1_j2 -15.000000
    h1_l1.h1_j1 -9.000000
    h9_l1.h0_j1 -1.045598
    h9_l1.h9_j2 -15.000000
    h9_l1.h9_j1 -9.000000
    h0_l1.h0_j1 -9.000000
    h0_l1.h0_j2 -15.000000
    h8_i1.h9_l1 6.411196
    h8_i1.h8_l1 6.000000
    h8_i3.h1_j1 -6.658399
    h8_i3.h8_j1 1.000000
    h8_i3.h8_j2 -5.000000
    h8_i3.h1_j2 5.690776
    h8_i3.h4_j2 4.366647
    h8_i2.h6_j2 9.405971
    h8_i2.h8_l1 16.000000
    h6_l1.h6_j2 -15.000000
    h6_l1.h6_j1 -9.000000
    h6_l1.h4_j2 13.883761
    h5_i2.h5_l1 16.000000
    h5_i2.h1_l1 -12.643106
    h5_i2.h3_l1 -2.854693
    h5_i3.h5_j2 -5.000000
    h5_i3.h5_j1 1.000000
    h3_l1.h3_j1 -9.000000
    h3_l1.h4_j2 2.029098
    h3_l1.h3_j2 -15.000000
    h7_i1.h7_l1 6.000000
    h7_i1.h1_l1 9.396795
    h7_i1.h1_j2 4.867976
    h2_l1.h8_j1 5.970811
    h2_l1.h2_j2 -15.000000
    h2_l1.h1_j1 9.183953
    h2_l1.h2_j1 -9.000000
    h4_i1.h6_j2 -2.111027
    h4_i1.h4_l1 6.000000
    h4_i1.h6_l1 -11.005067
    h4_i1.h7_j2 5.057583
    h7_i2.h5_l1 4.036634
    h7_i2.h2_l1 1.924440
    h7_i2.h7_l1 13.000000
    h4_i3.h4_j1 1.000000
    h4_i3.h4_j2 -5.000000
    h4_i2.h4_l1 13.000000
    h9_i2.h2_j2 4.816118
    h9_i2.h9_l1 16.000000
    h9_i2.h3_j2 -13.873064
    h9_i3.h7_j2 9.740739
    h9_i3.h9_j2 -5.000000
    h9_i3.h9_j1 1.000000
    h0_i3.h0_j1 1.000000
    h0_i3.h0_j2 -5.000000
    h9_i1.h1_l1 11.226630
    h9_i1.h5_j1 -9.793086
    h9_i1.h6_j1 -4.963604
    h9_i1.h9_l1 6.000000
    h9_i1.h4_j2 5.456123
    h5_i1.h5_l1 6.000000
    h3_i1.h0_j1 -0.555315
    h3_i1.h0_j2 11.156319
    h3_i1.h4_j1 13.469243
    h3_i1.h3_l1 6.000000
    h6_i3.h6_j2 -5.000000
    h6_i3.h2_l1 -11.731269
    h6_i3.h7_l1 2.328554
    h6_i3.h6_j1 1.000000
    h3_i2.h9_j1 12.173336
    h3_i2.h3_l1 16.000000
